Datetime,Adj Close,Close,High,Low,Open,Volume
02/12/2023-10:00,21890.7207,21890.7207,21913.70117,21863.58594,21913.4707,118366208
02/12/2023-11:00,21896.64258,21896.64258,21896.64258,21877.02539,21892.47266,0
02/12/2023-12:00,21843.67188,21843.67188,21905.97461,21840.09375,21897.13672,0
02/12/2023-13:00,21826.75391,21826.75391,21846.75781,21798.37109,21842.68555,131132416
02/12/2023-14:00,21934.49414,21934.49414,21951.15039,21822.9707,21822.9707,385776640
02/12/2023-15:00,21939.58594,21939.58594,21957.92773,21906.68555,21933.01563,246962176
02/12/2023-16:00,22036.54688,22036.54688,22060.99414,21940.68359,21940.68359,701244416
02/12/2023-17:00,22001.19336,22001.19336,22047.64844,21996.2793,22033.64063,290567168
02/12/2023-18:00,21987.74414,21987.74414,22001.00781,21971.33594,22000.38086,0
02/12/2023-19:00,22011.04102,22011.04102,22022.03125,21949.98438,21988.69727,67068928
02/12/2023-20:00,21983.41602,21983.41602,22027.13477,21978.02539,22011.61914,0
02/12/2023-21:00,21762.63281,21762.63281,21986.49805,21744.2793,21984.05664,389366784
02/12/2023-22:00,21824.05469,21824.05469,21824.05469,21682.82813,21758.34375,671818752
02/12/2023-23:00,21785.53516,21785.53516,21823.34766,21749.5625,21817.98438,131479552
02/13/2023-00:00,21841.82617,21841.82617,21853.9043,21724.4082,21787,354058240
02/13/2023-01:00,21724.68945,21724.68945,21837.94336,21705.00977,21837.94336,560031744
02/13/2023-02:00,21767.03906,21767.03906,21767.03906,21677.24609,21726.65234,404062208
02/13/2023-03:00,21811.38867,21811.38867,21814.23438,21761.49805,21766.32227,112521216
02/13/2023-04:00,21850.72461,21850.72461,21866.37305,21812.46094,21812.46094,147841024
02/13/2023-05:00,21846.09766,21846.09766,21869.51563,21843.85156,21851.06641,12384256
02/13/2023-06:00,21823.70117,21823.70117,21858.15234,21823.70117,21845.54492,0
02/13/2023-07:00,21881.39453,21881.39453,21898.41406,21816.92773,21823.13086,308797440
02/13/2023-08:00,21756.98242,21756.98242,21884.00391,21737.58984,21881.60938,570189824
02/13/2023-09:00,21619.9375,21619.9375,21768.71875,21555.55469,21751.29883,1059158016
02/13/2023-10:00,21618.01367,21618.01367,21658.85547,21539.5,21614.17578,720986112
02/13/2023-11:00,21619.12109,21619.12109,21656.06055,21615.66211,21619.06641,339456000
02/13/2023-12:00,21688.68359,21688.68359,21711.17969,21616.49414,21618.07031,252549120
02/13/2023-13:00,21611.38672,21611.38672,21691.1875,21611.08789,21685.01953,0
02/13/2023-14:00,21689.27539,21689.27539,21689.27539,21597.63281,21607.2168,137897984
02/13/2023-15:00,21606.73828,21606.73828,21693.16016,21606.73828,21690.24023,220471296
02/13/2023-16:00,21530.22656,21530.22656,21654.05078,21494.88086,21603.44727,115099648
02/13/2023-17:00,21471.73047,21471.73047,21554.5957,21460.08789,21526.80664,409991168
02/13/2023-18:00,21663.57813,21663.57813,21673.52148,21484.8125,21484.8125,681662464
02/13/2023-19:00,21613.72656,21613.72656,21664.66406,21573.04102,21659.84766,247791616
02/13/2023-20:00,21657.86914,21657.86914,21674.95508,21599.40234,21617.45313,248729600
02/13/2023-21:00,21630.79102,21630.79102,21666.17969,21614.04102,21657.55859,0
02/13/2023-22:00,21672.11914,21672.11914,21680.62305,21624.57031,21629.82813,0
02/13/2023-23:00,21812.76563,21812.76563,21834.08594,21662.4707,21669.55273,730949632
02/14/2023-00:00,21757.29883,21757.29883,21813.04688,21757.29883,21801.82227,0
02/14/2023-01:00,21722.58203,21722.58203,21768.95898,21716.73438,21758.05469,0
02/14/2023-02:00,21733.37695,21733.37695,21753.27148,21722.01172,21722.23828,0
02/14/2023-03:00,21722.04883,21722.04883,21764.26563,21716.32617,21730.12891,0
02/14/2023-04:00,21730.22852,21730.22852,21749.63086,21706.83398,21720.10547,0
02/14/2023-05:00,21739.27344,21739.27344,21750.05469,21721.83203,21729.85352,67710976
02/14/2023-06:00,21770.61914,21770.61914,21772.10156,21738.79297,21739.66406,186331136
02/14/2023-07:00,21781.45898,21781.45898,21794.91602,21762.85742,21770.71484,0
02/14/2023-08:00,21711.15039,21711.15039,21782.17188,21708.18164,21781.17969,0
